AgeAtStart;Ejercicio_Regular_edad;Sedentarismo_edad
15;46.3;30.0
16;46.3;30.1
17;46.3;30.2
18;46.3;30.3
19;46.3;30.4
20;46.3;30.5
21;46.3;30.6
22;46.3;30.7
23;46.3;30.8
24;46.3;30.9
25;38.3;34.6
26;38.3;34.6
27;38.3;34.6
28;38.3;34.6
29;38.3;34.6
30;38.3;34.6
31;38.3;34.6
32;38.3;34.6
33;38.3;34.6
34;38.3;34.6
35;29.2;38.4
36;29.2;38.4
37;29.2;38.4
38;29.2;38.4
39;29.2;38.4
40;29.2;38.4
41;29.2;38.4
42;29.2;38.4
43;29.2;38.4
44;29.2;38.4
45;29.2;38.4
46;29.2;38.4
47;29.2;38.4
48;29.2;38.4
49;29.2;38.4
50;20.3;36.4
51;20.3;36.4
52;20.3;36.4
53;20.3;36.4
54;20.3;36.4
55;20.3;36.4
56;20.3;36.4
57;20.3;36.4
58;20.3;36.4
59;20.3;36.4
60;20.3;36.4
61;20.3;36.4
62;20.3;36.4
63;20.3;36.4
64;20.3;36.4
65;9.2;44.7
66;9.2;44.7
67;9.2;44.7
68;9.2;44.7
69;9.2;44.7
70;9.2;44.7
71;9.2;44.7
72;9.2;44.7
73;9.2;44.7
74;9.2;44.7
75;9.2;44.7
76;9.2;44.7
77;9.2;44.7
78;9.2;44.7
79;9.2;44.7
80;9.2;44.7
81;9.2;44.7
82;9.2;44.7
83;9.2;44.7
84;9.2;44.7
85;9.2;44.7
86;9.2;44.7
87;9.2;44.7
88;9.2;44.7
89;9.2;44.7
90;9.2;44.7
91;9.2;44.7
92;9.2;44.7
93;9.2;44.7
94;9.2;44.7
95;9.2;44.7
96;9.2;44.7
97;9.2;44.7
98;9.2;44.7
99;9.2;44.7
100;9.2;44.7
